StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_14_TEXT,Q3,Q4,Q5,Q6_1,Q7,Q8,Q9,Q9_2_TEXT,Q10,Q11,Q12_1,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q17,Q18_1,Q19,Q20,Q21,Q21_5_TEXT,Q22,Q23,Q23_33_TEXT,Q24,Q24_1_TEXT,Q25,Q26
4/26/2022 7:40,4/27/2022 16:35,IP Address,161.130.189.220,100,118464,TRUE,4/27/2022 16:35,R_1qafTTq9zu6MuGv,,,,,38.9361,-92.3056,anonymous,EN,Freshman,"College of Arts and Science (includes the School of Music and Truman School of Public Affairs),School of Journalism",,Maneater,Since Fall 2021,Photographer and photo editor,7,"Visuals (graphics, photo, multimedia),Access to leadership opportunities,Access to trainings/workshops,Slack/Google Drive/AirTable,Budget meetings","Editing process,Pitch meetings,Visuals (graphics, photo, multimedia),Collaboration,Leadership (from executive editors),Website,Onboarding process,Communication,Slack/Google Drive/AirTable",Yes,,,,,,,,,,,,,,,,I've learned a lot about the journalistic process as a reporter and as an editor.,"AP style,Editing,How to conduct an interview,Leadership,Professionalism,Reporting/news gathering,Resume building",,Yes (Where/What position?),Communications intern for MU Bond Life Sciences Center,"Lucy Valeski taught me how to edit copy for photo stories and work with reporters to develop story angles. While I reached out to the EIC and managing editor for help with this, the process of coordinating a time was eventually dropped and Lucy agreed to help me while I was working on True/False coverage.",
4/20/2022 18:11,4/20/2022 18:11,IP Address,161.130.189.248,81,7,FALSE,4/27/2022 18:11,R_2SwUz9diB60GC1J,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022 19:19,4/27/2022 19:21,IP Address,161.130.189.247,100,166,TRUE,4/27/2022 19:21,R_2CvopqNOwV3Hrsu,,,,,38.9361,-92.3056,anonymous,EN,Freshman,"College of Arts and Science (includes the School of Music and Truman School of Public Affairs),School of Journalism",,Maneater,7 months,"Data reporter, multimedia reporter",7,"Visuals (graphics, photo, multimedia),Collaboration,Leadership (from section editors),Leadership (from executive editors),Access to leadership opportunities,Access to trainings/workshops,Communication,Networking,Community,Slack/Google Drive/AirTable","Editing process,Pitch meetings,Distribution Day",Yes,,,,,,,,,,,,,,,,"Community, involvement, resume building","Collaboration,Communication,Inclusive reporting,Networking,Planning and preparation,Professionalism,Receptive to feedback,Reporting/news gathering,Resume building,Time management",,No,,Ellie Lin! Absolutely amazing editor,
4/28/2022 8:50,4/28/2022 8:55,IP Address,161.130.189.197,100,290,TRUE,4/28/2022 8:55,R_WoHqM02isZo1i5H,,,,,38.9361,-92.3056,anonymous,EN,Freshman,"College of Arts and Science (includes the School of Music and Truman School of Public Affairs),School of Journalism",,Maneater,The whole 2021-22 school year,"Data reporter, assistant data editor, data editor and Data and Investigative Chief",5,"Pitch meetings,Visuals (graphics, photo, multimedia),Collaboration,Access to leadership opportunities,Access to trainings/workshops,Networking","Editing process,Leadership (from executive editors),Website,Onboarding process,Communication,Slack/Google Drive/AirTable,Distribution Day,Budget meetings",Yes,,,,,,,,,,,,,,,,"I’ve been able to learn really invaluable information and skills about data journalism, have met great (hopefully lifelong) friends, have improved my leadership skills, and have built my resume.","Leadership,Networking,Resume building,Self-assessment,Time management",,Yes (Where/What position?),WAMU and the DCist - INN intern,"Ellie Lin, Aisling Kerr, Geoffrey Dean, and Anna Colletto",More organization and communication and clear standards for roles and responsibilities would be super helpful
5/2/2022 18:34,5/2/2022 18:51,IP Address,172.58.147.132,100,991,TRUE,5/2/2022 18:51,R_uaB2CeMkfuwgEP7,,,,,36.1671,-86.7861,anonymous,EN,Senior,School of Journalism,,KCOU,,,,,,,,,,,,,,,4 years,Show host,10,"Department meetings,Leadership (from Directors),Access to leadership opportunities,Access to trainings/workshops,Communication,Approachability of exec board",Slack,Yes,,Given me on air experience ,"Accountability,Adobe Creative Suite,Audio recording and editing,Collaboration,Communication,Editing,How to conduct an interview,Networking,Planning and preparation,Professionalism,Social media etiquette,FCC policy",,No,,,
4/26/2022 7:01,4/26/2022 7:01,IP Address,161.130.189.238,12,10,FALSE,5/3/2022 7:01,R_1JWRdaBxDgX8Hyn,,,,,,,anonymous,EN,Freshman,School of Journalism,,Maneater,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022 8:34,4/26/2022 8:39,IP Address,161.130.189.241,81,297,FALSE,5/3/2022 8:39,R_2YtWGG0PLBVuwnQ,,,,,,,anonymous,EN,Freshman,School of Journalism,,Maneater,1 year,Sports Reporter and Editor,7,"Editing process,Pitch meetings,Visuals (graphics, photo, multimedia),Leadership (from section editors),Access to leadership opportunities,Access to trainings/workshops,Website,Communication,Networking,Community,Slack/Google Drive/AirTable,Budget meetings","Collaboration,Onboarding process,Distribution Day",Yes,,,,,,,,,,,,,,,,,,,,,,
5/3/2022 8:50,5/3/2022 8:54,IP Address,161.130.190.20,100,238,TRUE,5/3/2022 8:54,R_O8RkQM43oSHFHQl,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,Maneater,All Year,Photographer ,8,"Visuals (graphics, photo, multimedia),Leadership (from section editors),Leadership (from executive editors),Website,Slack/Google Drive/AirTable,Distribution Day","Pitch meetings,Networking",Yes,,,,,,,,,,,,,,,,Helped gain more experience ,"Accountability,AP style,Planning and preparation,Professionalism,Time management",,No,,Lily Dozier,
5/3/2022 8:57,5/3/2022 9:03,IP Address,173.24.78.153,100,339,TRUE,5/3/2022 9:03,R_xaS1W2qmEowLtTP,,,,,38.9336,-92.363,anonymous,EN,Sophomore,"College of Arts and Science (includes the School of Music and Truman School of Public Affairs),School of Journalism",,Maneater,2 Years,Reporter ,6,"Pitch meetings,Leadership (from section editors),Access to trainings/workshops,Website,Communication,Slack/Google Drive/AirTable","Editing process,Visuals (graphics, photo, multimedia),Onboarding process,Networking",Yes,,,,,,,,,,,,,,,,I’ve been able to broaden my horizons to what I can report on and become a better writer because of it. ,"Accountability,AP style,Breaking news,Editing,How to pitch a story,Planning and preparation,Receptive to feedback,Reporting/news gathering,Social media etiquette,Video recording and editing",,Yes (Where/What position?),WBUR Boston - NPR Affiliate in the product and audience engagement department!  ,,The editing process is horrific and it feels as if execs aren’t listening to reporters and section editors who have voiced their frustrations. Gamers shouldn’t be going out WEEKS after a match and neither should profiles. It makes myself especially not care to write on time or care to send stories in when the editing process is so messed up. 
4/26/2022 9:23,4/26/2022 9:24,IP Address,96.44.19.103,12,41,FALSE,5/3/2022 9:24,R_2cpCtInPZWdG3kC,,,,,,,anonymous,EN,Junior,School of Journalism,,"Maneater,KCOU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2022 9:40,5/3/2022 9:44,IP Address,161.130.189.227,100,245,TRUE,5/3/2022 9:44,R_2ysJuI1ONM0xxIO,,,,,38.9361,-92.3056,anonymous,EN,Sophomore,College of Arts and Science (includes the School of Music and Truman School of Public Affairs),,Maneater,Like a month and a half,Multimedia staff? ,8,"Editing process,Pitch meetings,Visuals (graphics, photo, multimedia),Leadership (from section editors),Website,Community,Slack/Google Drive/AirTable","Collaboration,Access to trainings/workshops",,,,,,,,,,,,,,,,,,"AP style,Networking,Professionalism,Reporting/news gathering,Self-assessment",,No,,"The editors were great, no company there",
4/26/2022 9:55,4/26/2022 9:55,IP Address,161.130.189.230,12,16,FALSE,5/3/2022 11:06,R_dmXO363HfCewofv,,,,,,,anonymous,EN,Junior,School of Journalism,,"Maneater,KCOU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2022 11:22,5/3/2022 12:57,IP Address,161.130.189.206,100,5708,TRUE,5/3/2022 12:57,R_2TZA5oP3c5fjfaG,,,,,38.9361,-92.3056,anonymous,EN,Sophomore,School of Journalism,,Maneater,Three semesters,Editor,9,"Pitch meetings,Collaboration,Leadership (from section editors),Leadership (from executive editors),Access to leadership opportunities,Access to trainings/workshops,Onboarding process,Communication,Community,Slack/Google Drive/AirTable,Distribution Day,Budget meetings","Editing process,Visuals (graphics, photo, multimedia),Website,Networking",No (Why not?),New opportunities!,,,,,,,,,,,,,,,MSM has given me a community of people who share my passion for journalism. They champion me and celebrate me for who I am!,"AP style,Collaboration,Communication,Editing,Leadership,Planning and preparation,Professionalism",,Yes (Where/What position?),Internship in London!,"Cami Fowler is the brightest light and someone I hope to have in my life for a long time. She's an incredible journalist, an advocate for telling the real, hard stories and an incredible friend. ",
5/3/2022 13:35,5/3/2022 13:40,IP Address,161.130.189.202,100,250,TRUE,5/3/2022 13:40,R_3gRzDyhtDc3BzCU,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,Maneater,One year,Copy editor and copy chief ,10,"Editing process,Pitch meetings,Collaboration,Leadership (from section editors),Leadership (from executive editors),Access to leadership opportunities,Access to trainings/workshops,Onboarding process,Communication,Networking,Community,Slack/Google Drive/AirTable,Distribution Day","Visuals (graphics, photo, multimedia),Website,Budget meetings",Yes,,,,,,,,,,,,,,,,It has connected me with so many people and given me valuable real-world experience in my career path.,"Accountability,AP style,Breaking news,Collaboration,Communication,Editing,Inclusive reporting,Leadership,Planning and preparation,Professionalism,Receptive to feedback,Reporting/news gathering,Resume building,Self-assessment,Time management",,Yes (Where/What position?),Copy editor at a PR firm,Elizabeth Derner was fabulous and made me feel so valued. I appreciate her so much.,
4/26/2022 14:16,4/26/2022 14:16,IP Address,172.58.136.118,58,32,FALSE,5/3/2022 14:17,R_10veWl4frCyDcQI,,,,,,,anonymous,EN,Senior,School of Journalism,,KCOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022 15:05,4/26/2022 15:05,IP Address,52.124.38.225,58,14,FALSE,5/3/2022 15:06,R_2uxJE2o2msiW3tj,,,,,,,anonymous,EN,Senior,College of Arts and Science (includes the School of Music and Truman School of Public Affairs),,KCOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2022 10:29,5/4/2022 10:34,IP Address,174.210.4.24,100,281,TRUE,5/4/2022 10:34,R_2UVZgYDj6cXcKxW,,,,,38.6285,-90.3294,anonymous,EN,Sophomore,School of Journalism,,Maneater,2 years,Photo Editor,8,"Leadership (from section editors),Leadership (from executive editors),Website,Community,Slack/Google Drive/AirTable,Budget meetings","Pitch meetings,Website,Communication",No (Why not?),going to  be a junior and hoping to work with the Missourian some,,,,,,,,,,,,,,,I think the connections I built and the journalism techniques. Also the people I got to meet and work with and the connections I built have definitely benefitted my experience,"Accountability,Adobe Creative Suite,AP style,Editing,How to pitch a story,Leadership,Receptive to feedback,Resume building,Time management",,No,,Meeting Isabella Sorice through the photo staff has really made a positive impact on my experience and because she became a fasts friend and reliable co editor that made my time with MSM even better.,
4/27/2022 15:57,4/27/2022 15:57,IP Address,209.94.244.158,12,10,FALSE,5/4/2022 15:57,R_exPABNc6Z1taAX7,,,,,,,anonymous,EN,Freshman,School of Journalism,,Maneater,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022 15:58,4/27/2022 16:00,IP Address,161.130.189.239,81,128,FALSE,5/4/2022 16:00,R_29jqnFVjrmh5YHD,,,,,,,anonymous,EN,Freshman,School of Journalism,,Maneater,Two semesters,Copy chief ,6,"Editing process,Collaboration,Leadership (from executive editors),Access to leadership opportunities,Access to trainings/workshops,Website,Slack/Google Drive/AirTable,Distribution Day,Budget meetings","Editing process,Onboarding process,Communication,Community",Yes,,,,,,,,,,,,,,,,,,,,,,
5/5/2022 8:45,5/5/2022 8:48,IP Address,161.130.189.250,100,137,TRUE,5/5/2022 8:48,R_DHq9QZrKp5DKM4F,,,,,38.9361,-92.3056,anonymous,EN,Junior,"College of Arts and Science (includes the School of Music and Truman School of Public Affairs),School of Journalism",,KCOU,,,,,,,,,,,,,,,3 years,Radio Host,7,"Leadership (from Directors),Onboarding process,Communication,Slack,Approachability of exec board",Department meetings,Yes,,,"Live radio production,Networking,Professionalism,Reporting/news gathering,Resume building,Time management",,Yes (Where/What position?),Student Product Fellow - Atlanta Journal-Constitution,Nash Walker,Meetings were impossible to get to for me because of my Missourian schedule this semester but I had a very good time with the station this year.
5/5/2022 12:36,5/5/2022 12:39,IP Address,161.130.189.240,100,167,TRUE,5/5/2022 12:39,R_TdgqB14CoSelBLj,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,KCOU,,,,,,,,,,,,,,,1 semester ,Reporter/ in-studio,10,"Editing process,Department meetings,Leadership (from Directors),Leadership (from General Manager),Approachability of exec board",,Yes,,I love learning  about radio!,"Editing,How to conduct an interview,Live radio production,Reporting/news gathering,FCC policy",,No,,Jack McGrath and Jack Knowlton both welcomed me and me feel very included. They’re both friendly and well-organized.,None 
5/2/2022 18:29,5/2/2022 18:30,IP Address,161.130.189.225,81,56,FALSE,5/9/2022 18:30,R_1in8IVw7xQbm0tD,,,,,,,anonymous,EN,Freshman,School of Journalism,,KCOU,,,,,,,,,,,,,,,1 semester,Multiple positions ,10,"Editing process,Department meetings,Leadership (from Directors),Leadership (from General Manager),Access to leadership opportunities,Onboarding process,Communication,Slack,Approachability of exec board",,Yes,,,,,,,,
5/2/2022 18:51,5/2/2022 18:51,IP Address,173.26.242.135,12,13,FALSE,5/9/2022 18:51,R_3qK94MXIh9FGc66,,,,,,,anonymous,EN,Sophomore,School of Journalism,,"Maneater,KCOU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2022 8:50,5/3/2022 8:50,IP Address,161.130.189.227,12,11,FALSE,5/10/2022 8:51,R_3fuw5CsNl0FsiJy,,,,,,,anonymous,EN,Freshman,School of Journalism,,Maneater,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2022 8:50,5/3/2022 8:52,IP Address,161.130.189.201,81,131,FALSE,5/10/2022 8:52,R_2PAIhRUs95AdSCP,,,,,,,anonymous,EN,Freshman,School of Journalism,,"Maneater,MUTV,KCOU",3 months,Writer,9,"Visuals (graphics, photo, multimedia),Collaboration,Leadership (from executive editors),Website,Communication,Networking,Community,Distribution Day","Editing process,Pitch meetings,Leadership (from section editors),Slack/Google Drive/AirTable",No (Why not?),Multimedia was a mess.,1 semester,Member,8,"Editing process,Leadership (from Dept Heads/Execs),Leadership (from the General Manager/Asst General Manager),Access to leadership opportunities,Communication,Slack/Google Drive/AirTable,Timeliness of posting content,Staff participation",Pitch meetings,Yes,,2 semesters,Member,10,"Editing process,Department meetings,Collaboration within departments,Collaboration across departments,Leadership (from Directors),Leadership (from General Manager),Access to leadership opportunities,Access to trainings/workshops,Communication,Slack,Approachability of exec board",,Yes,,,,,,,,
